0 [main] INFO WebdriverTest  - fin del setup de los logs
70074 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
70074 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 3][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
70074 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
70075 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
70075 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:60382<->127.0.0.1:7055
70075 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/element HTTP/1.1
70075 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
70075 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
70076 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-3 >> POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/element HTTP/1.1
70076 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-3 >> Content-Type: application/json; charset=utf-8
70076 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-3 >> Content-Length: 68
70076 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-3 >> Host: 127.0.0.1:7055
70076 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-3 >> Connection: Keep-Alive
70076 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-3 >> User-Agent: Apache-HttpClient/4.3.5 (java 1.5)
70077 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-3 >> Accept-Encoding: gzip,deflate
70077 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-3 >> "POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/element HTTP/1.1[\r][\n]"
70077 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-3 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
